,astrazeneca_primera,astrazeneca_segunda,pfizer_primera,pfizer_segunda,sinopharm_primera,sinopharm_segunda,sputnikv_primera,sputnikv_segunda,janssen_única
2021-07-13,10153,1193,0,0,65634,36826,43294,822,0
2021-07-14,10154,1715,0,0,67448,37106,43504,822,0
2021-07-15,10155,2099,0,0,68917,37520,43628,822,0
2021-07-16,10155,2275,0,0,70821,38061,43692,822,0
2021-07-17,10159,2381,0,0,71514,38192,43746,822,0
2021-07-18,10161,2393,0,0,72250,38467,43746,822,0
2021-07-19,10160,2894,0,0,74077,39148,43819,843,0
2021-07-20,10160,3256,0,0,75863,39966,43883,875,0
2021-07-21,10160,3715,0,0,77464,40691,43927,1000,178
