,18 a 29,30 a 39,40 a 49,50 a 59,60 y más,Bolivia
2021-07-19,0.22,0.3,0.41,0.49,0.55,0.35
2021-07-20,0.23,0.31,0.41,0.49,0.55,0.36
2021-07-21,0.23,0.32,0.41,0.49,0.55,0.36
2021-07-22,0.24,0.32,0.42,0.49,0.56,0.37
2021-07-23,0.25,0.32,0.42,0.5,0.56,0.37
2021-07-24,0.25,0.32,0.42,0.5,0.56,0.37
2021-07-25,0.25,0.33,0.42,0.5,0.56,0.37
2021-07-26,0.25,0.33,0.42,0.5,0.56,0.38
2021-07-28,0.26,0.34,0.43,0.5,0.56,0.38
2021-07-29,0.26,0.34,0.43,0.5,0.56,0.38
2021-07-30,0.27,0.34,0.43,0.5,0.56,0.39
2021-07-31,0.27,0.34,0.43,0.5,0.56,0.39
2021-08-01,0.27,0.34,0.43,0.5,0.57,0.39
2021-08-02,0.27,0.34,0.43,0.5,0.57,0.39
2021-08-03,0.27,0.34,0.43,0.51,0.57,0.39
2021-08-05,0.28,0.35,0.43,0.51,0.57,0.39
2021-08-06,0.28,0.35,0.43,0.51,0.57,0.39
2021-08-07,0.28,0.35,0.43,0.51,0.57,0.39
2021-08-08,0.28,0.35,0.43,0.51,0.57,0.39
2021-08-09,0.28,0.35,0.44,0.51,0.57,0.39
2021-08-10,0.28,0.35,0.44,0.51,0.57,0.4
2021-08-11,0.28,0.35,0.44,0.51,0.57,0.4
2021-08-12,0.28,0.35,0.44,0.51,0.57,0.4
2021-08-13,0.29,0.35,0.44,0.51,0.57,0.4
2021-08-14,0.29,0.35,0.44,0.51,0.57,0.4
2021-08-15,0.29,0.36,0.44,0.51,0.57,0.4
2021-08-16,0.29,0.36,0.44,0.51,0.57,0.4
2021-08-17,0.29,0.36,0.44,0.52,0.57,0.4
2021-08-18,0.29,0.36,0.45,0.52,0.57,0.41
2021-08-19,0.3,0.36,0.45,0.52,0.57,0.41
2021-08-20,0.3,0.36,0.45,0.52,0.58,0.41
2021-08-21,0.3,0.36,0.45,0.52,0.58,0.41
2021-08-22,0.3,0.36,0.45,0.52,0.58,0.41
2021-08-23,0.3,0.37,0.45,0.52,0.58,0.41
2021-08-24,0.3,0.37,0.45,0.52,0.58,0.41
