,18 a 29,30 a 39,40 a 49,50 a 59,60 y más,Bolivia
2021-07-19,0.03,0.1,0.15,0.24,0.28,0.13
2021-07-20,0.04,0.11,0.15,0.25,0.29,0.14
2021-07-21,0.04,0.13,0.16,0.25,0.3,0.15
2021-07-22,0.05,0.14,0.16,0.26,0.31,0.15
2021-07-23,0.06,0.15,0.17,0.26,0.31,0.16
2021-07-24,0.06,0.15,0.17,0.26,0.32,0.17
2021-07-25,0.07,0.16,0.18,0.27,0.32,0.17
2021-07-26,0.09,0.17,0.18,0.27,0.32,0.18
2021-07-28,0.12,0.19,0.2,0.28,0.34,0.2
2021-07-29,0.13,0.2,0.2,0.29,0.34,0.21
2021-07-30,0.14,0.21,0.21,0.29,0.34,0.22
2021-07-31,0.14,0.21,0.21,0.29,0.34,0.22
2021-08-01,0.15,0.21,0.21,0.29,0.34,0.22
2021-08-02,0.16,0.22,0.22,0.29,0.35,0.23
2021-08-03,0.16,0.22,0.22,0.3,0.35,0.23
2021-08-05,0.17,0.23,0.23,0.3,0.35,0.24
2021-08-07,0.18,0.24,0.23,0.3,0.35,0.24
2021-08-08,0.18,0.24,0.23,0.3,0.35,0.24
2021-08-09,0.18,0.24,0.23,0.31,0.36,0.25
2021-08-10,0.09,0.25,0.23,0.31,0.36,0.25
2021-08-11,0.19,0.25,0.24,0.31,0.38,0.26
2021-08-12,0.2,0.26,0.24,0.32,0.4,0.27
2021-08-13,0.2,0.26,0.25,0.32,0.42,0.27
2021-08-14,0.21,0.26,0.25,0.32,0.42,0.27
2021-08-15,0.21,0.26,0.25,0.33,0.42,0.27
