fecha,tipo,departamento,dosis
2021-02-03,primera,Beni,48
2021-02-03,primera,Chuquisaca,303
2021-02-03,primera,Cochabamba,687
2021-02-03,primera,La Paz,361
2021-02-03,primera,Oruro,106
2021-02-03,primera,Pando,388
2021-02-03,primera,Potosi,203
2021-02-03,primera,Santa Cruz,1264
2021-02-03,primera,Tarija,200
2021-02-04,primera,Beni,63
2021-02-04,primera,Chuquisaca,304
2021-02-04,primera,Cochabamba,1044
2021-02-04,primera,La Paz,1030
2021-02-04,primera,Oruro,195
2021-02-04,primera,Pando,488
2021-02-04,primera,Potosi,293
2021-02-04,primera,Santa Cruz,1393
2021-02-04,primera,Tarija,362
2021-02-05,primera,Beni,154
2021-02-05,primera,Chuquisaca,529
2021-02-05,primera,Cochabamba,1369
2021-02-05,primera,La Paz,1783
2021-02-05,primera,Oruro,300
2021-02-05,primera,Pando,550
2021-02-05,primera,Potosi,396
2021-02-05,primera,Santa Cruz,1638
2021-02-05,primera,Tarija,711
2021-02-06,primera,Beni,170
2021-02-06,primera,Chuquisaca,530
2021-02-06,primera,Cochabamba,1369
2021-02-06,primera,La Paz,1859
2021-02-06,primera,Oruro,412
2021-02-06,primera,Pando,550
2021-02-06,primera,Potosi,396
2021-02-06,primera,Santa Cruz,1638
2021-02-06,primera,Tarija,712
2021-02-07,primera,Beni,199
2021-02-07,primera,Chuquisaca,530
2021-02-07,primera,Cochabamba,1369
2021-02-07,primera,La Paz,1859
2021-02-07,primera,Oruro,499
2021-02-07,primera,Pando,550
2021-02-07,primera,Potosi,396
2021-02-07,primera,Santa Cruz,1638
2021-02-07,primera,Tarija,712
2021-02-08,primera,Beni,408
2021-02-08,primera,Chuquisaca,690
2021-02-08,primera,Cochabamba,1525
2021-02-08,primera,La Paz,1938
2021-02-08,primera,Oruro,700
2021-02-08,primera,Pando,550
2021-02-08,primera,Potosi,432
2021-02-08,primera,Santa Cruz,1879
2021-02-08,primera,Tarija,783
2021-02-09,primera,Beni,570
2021-02-09,primera,Chuquisaca,776
2021-02-09,primera,Cochabamba,1666
2021-02-09,primera,La Paz,1987
2021-02-09,primera,Oruro,715
2021-02-09,primera,Pando,550
2021-02-09,primera,Potosi,463
2021-02-09,primera,Santa Cruz,2200
2021-02-09,primera,Tarija,825
2021-02-10,primera,Beni,587
2021-02-10,primera,Chuquisaca,776
2021-02-10,primera,Cochabamba,1674
2021-02-10,primera,La Paz,2006
2021-02-10,primera,Oruro,715
2021-02-10,primera,Pando,550
2021-02-10,primera,Potosi,816
2021-02-10,primera,Santa Cruz,2218
2021-02-10,primera,Tarija,825
2021-02-22,primera,Beni,603
2021-02-22,primera,Chuquisaca,881
2021-02-22,primera,Cochabamba,1674
2021-02-22,primera,La Paz,2009
2021-02-22,primera,Oruro,715
2021-02-22,primera,Pando,550
2021-02-22,primera,Potosi,826
2021-02-22,primera,Santa Cruz,2218
2021-02-22,primera,Tarija,825
2021-02-22,segunda,Beni,0
2021-02-22,segunda,Chuquisaca,10
2021-02-22,segunda,Cochabamba,24
2021-02-22,segunda,La Paz,12
2021-02-22,segunda,Oruro,0
2021-02-22,segunda,Pando,85
2021-02-22,segunda,Potosi,54
2021-02-22,segunda,Santa Cruz,0
2021-02-22,segunda,Tarija,25
2021-02-23,primera,Beni,603
2021-02-23,primera,Chuquisaca,881
2021-02-23,primera,Cochabamba,1674
2021-02-23,primera,La Paz,2009
2021-02-23,primera,Oruro,715
2021-02-23,primera,Pando,550
2021-02-23,primera,Potosi,826
2021-02-23,primera,Santa Cruz,2218
2021-02-23,primera,Tarija,825
2021-02-23,segunda,Beni,6
2021-02-23,segunda,Chuquisaca,122
2021-02-23,segunda,Cochabamba,166
2021-02-23,segunda,La Paz,31
2021-02-23,segunda,Oruro,25
2021-02-23,segunda,Pando,239
2021-02-23,segunda,Potosi,123
2021-02-23,segunda,Santa Cruz,244
2021-02-23,segunda,Tarija,74
2021-02-24,primera,Beni,603
2021-02-24,primera,Chuquisaca,881
2021-02-24,primera,Cochabamba,1674
2021-02-24,primera,La Paz,2009
2021-02-24,primera,Oruro,715
2021-02-24,primera,Pando,550
2021-02-24,primera,Potosi,826
2021-02-24,primera,Santa Cruz,2218
2021-02-24,primera,Tarija,825
2021-02-24,segunda,Beni,42
2021-02-24,segunda,Chuquisaca,276
2021-02-24,segunda,Cochabamba,588
2021-02-24,segunda,La Paz,264
2021-02-24,segunda,Oruro,99
2021-02-24,segunda,Pando,349
2021-02-24,segunda,Potosi,173
2021-02-24,segunda,Santa Cruz,619
2021-02-24,segunda,Tarija,224
2021-02-25,primera,Beni,603
2021-02-25,primera,Chuquisaca,881
2021-02-25,primera,Cochabamba,1674
2021-02-25,primera,La Paz,2033
2021-02-25,primera,Oruro,715
2021-02-25,primera,Pando,550
2021-02-25,primera,Potosi,826
2021-02-25,primera,Santa Cruz,2218
2021-02-25,primera,Tarija,825
