fecha,Beni,Chuquisaca,Cochabamba,La Paz,Oruro,Pando,Potosi,Santa Cruz,Tarija,Total
2021-06-03,18147,24199,64793,90266,18495,4967,21702,92694,20818,356081
2021-06-04,18362,24615,67251,97541,18541,5024,21877,96547,20956,370714
2021-06-05,18439,25658,67638,98887,18717,5038,21983,97167,21011,374538
2021-06-06,18441,25667,67913,99039,18886,5076,22030,97223,21023,375298
2021-06-07,18575,25672,81193,106778,20115,5164,22108,106162,22102,407869
2021-06-08,18782,27101,93924,116043,22739,5533,22309,118090,24637,449158
2021-06-09,18976,29240,101287,123757,24432,5716,22527,125947,25552,477434
2021-06-10,19149,30929,106354,129636,25262,5980,22788,130339,26137,496574
2021-06-11,19436,32565,111459,136362,26147,6216,23392,136411,27246,519234
2021-06-12,19583,32947,112033,137556,26390,6278,23541,136772,27503,522603
2021-06-13,19584,33168,112414,138657,26597,6322,23654,136829,27674,524899
2021-06-14,19720,34036,114705,141350,26889,6457,24288,139528,28698,535671
2021-06-15,19942,34743,116642,143310,27242,6649,24936,141688,29719,544871
2021-06-16,20269,35480,119387,146163,27563,6872,25438,144492,30935,556599
2021-06-17,20608,35897,120820,149422,28003,7020,25982,146537,31649,565938
2021-06-18,20808,36451,122361,152993,28982,7158,26687,149040,32720,577200
2021-06-19,20941,36664,122932,154505,29637,7197,27118,149526,33884,582404
2021-06-20,20979,36752,123304,155198,29837,7202,27222,149568,34035,584097
2021-06-21,21100,37132,123772,155867,29989,7211,27539,149766,34176,586552
2021-06-22,21393,38248,127919,158922,31501,7351,28397,158350,37111,609192
2021-06-23,21661,39179,132342,162017,32994,7523,29142,168076,38930,631864
2021-06-24,21859,40211,134075,163725,33763,7751,29628,170669,39670,641351
2021-06-25,22123,41379,135368,165864,34787,7897,30218,175995,41937,655568
2021-06-26,22199,42130,135670,167128,35069,7961,30369,176571,42281,659378
2021-06-27,22263,42665,135864,168464,35237,7993,30548,176833,42415,662282
2021-06-28,23102,43715,139369,171730,35882,8121,31304,180259,43043,676525
2021-06-29,23823,44673,141612,176104,36851,8250,32084,184169,44086,691652
2021-06-30,24584,45357,144035,180476,37893,8620,32445,187181,44931,705522
2021-07-01,25462,45944,145659,185181,39459,9219,33114,190662,45627,720327
2021-07-02,26225,46540,146802,188897,41589,9456,33507,193717,46448,733181
2021-07-03,26469,46875,147019,189792,41948,9488,33596,194070,46664,735921
2021-07-04,26645,47278,147380,190542,42012,9511,34171,194235,46766,738540
2021-07-05,27424,47498,149413,191663,42178,9841,34411,196316,47042,745786
2021-07-06,27904,47887,152226,193140,42850,10104,35033,199099,47655,755898
2021-07-07,29170,48490,155139,195252,44192,10856,35691,202265,48682,769737
2021-07-08,29818,49088,157572,198084,45280,11484,36240,204658,50012,782236
2021-07-09,30425,49533,159077,199889,45856,12057,36696,206458,50681,790672
2021-07-10,30443,49733,159396,200585,46018,12072,36990,206734,50872,792843
2021-07-11,30622,50026,159872,201032,46077,12147,37179,208326,51009,796290
2021-07-12,31350,50452,161703,205393,46889,12711,38092,210461,51628,808679
2021-07-13,32004,51106,163228,208828,47572,13460,38841,214163,52189,821391
2021-07-14,32826,51982,166005,212469,48058,14296,39643,218836,52772,836887
2021-07-15,33688,53214,171603,217837,48864,15120,40441,230214,55666,866647
2021-07-16,34231,55318,178364,218058,50393,15708,41158,243481,58768,895479
2021-07-17,34345,55858,178841,220090,51584,15955,41395,258928,60492,917488
2021-07-18,34370,56222,179066,221004,51649,15961,41682,268588,60687,929229
2021-07-19,35082,57551,185272,232590,53101,16794,42885,293221,63792,980288
